task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
5902	4e/3cd2cd	1714167	prediction (HSIC_lasso-B=10-M=3, n_jobs=1, 20 causal (6))	CACHED	0	2018-12-06 01:32:39.366	9.8s	2.7s	90.6%	36.5 MB	403.4 MB	4.9 MB	0
5574	8e/023ebb	1713839	prediction (HSIC_lasso-B=5-M=3, n_jobs=1, 20 causal (5))	CACHED	0	2018-12-06 01:29:59.985	9.7s	2.8s	73.2%	35.3 MB	390.3 MB	4.7 MB	0
6784	ea/2a7200	1715050	prediction (HSIC_lasso-B=0-M=3, n_jobs=1, 20 causal (9))	CACHED	0	2018-12-06 01:38:55.786	9.7s	3.3s	98.1%	28.5 MB	328.8 MB	3.7 MB	0
5911	ff/8660fb	1714177	analyze_features (HSIC_lasso-B=5-M=3, n_jobs=1, 20 causal (6))	CACHED	0	2018-12-06 01:32:49.169	4.9s	418ms	66.5%	26 MB	317.8 MB	3.2 MB	0
6777	c0/d78662	1715043	prediction (HSIC_lasso-B=5-M=3, n_jobs=1, 20 causal (10))	CACHED	0	2018-12-06 01:38:55.477	9.7s	2.8s	56.2%	26.6 MB	320.9 MB	3.5 MB	0
6538	64/bd7908	1714805	analyze_features (HSIC_lasso-B=20-M=3, n_jobs=1, 20 causal (9))	CACHED	0	2018-12-06 01:38:05.264	9.8s	475ms	86.0%	28.1 MB	327.8 MB	3.5 MB	53 B
5457	3b/e826a6	1713723	analyze_features (HSIC_lasso-B=20-M=3, n_jobs=1, 20 causal (4))	CACHED	0	2018-12-06 01:29:04.229	5.3s	333ms	92.2%	27.2 MB	322.9 MB	3.5 MB	0
6091	3b/979492	1714357	prediction (HSIC_lasso-B=10-M=3, n_jobs=1, 20 causal (7))	CACHED	0	2018-12-06 01:34:59.094	10s	2.8s	90.2%	47.4 MB	501.8 MB	7.4 MB	32 B
5332	eb/fe7454	1713598	prediction (HSIC_lasso-B=20-M=3, n_jobs=1, 20 causal (2))	CACHED	0	2018-12-06 01:27:59.592	9.8s	3.1s	56.8%	30.4 MB	343.1 MB	3.9 MB	0
5345	25/c27583	1713611	analyze_features (HSIC_lasso-B=0-M=3, n_jobs=1, 20 causal (2))	CACHED	0	2018-12-06 01:28:09.283	9.8s	554ms	55.8%	24.2 MB	317.8 MB	2.8 MB	0
