task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
1558	01/3b5233	1762581	run_hsic_lasso (5, B = 20 (9))	CACHED	0	2018-12-11 08:57:27.312	1h 1m 5s	40.6s	1391.2%	1.8 GB	3.4 GB	44.3 MB	54.3 KB
1978	82/393a8c	1763723	run_hsic_lasso (10, B = 20 (9))	CACHED	0	2018-12-11 14:26:23.214	1h 20s	1m 6s	884.7%	1.8 GB	3.4 GB	44.3 MB	54.8 KB
2338	08/a81e16	1710562	run_hsic_lasso (20, B = 20 (7))	CACHED	0	2018-12-05 22:57:38.640	1h 2m	2m 6s	685.1%	1.8 GB	4.5 GB	44.4 MB	54.8 KB
1888	d0/ce79b8	1763519	run_hsic_lasso (10, B = 5 (7))	CACHED	0	2018-12-11 13:17:23.074	1h 15m	1m 46s	721.2%	571.8 MB	2.1 GB	44.3 MB	54.3 KB
2020	70/324c9c	1709164	run_hsic_lasso (20, B = 5 (5))	CACHED	0	2018-12-05 19:15:38.239	55m 40s	5m 31s	568.0%	560.7 MB	3.2 GB	44.4 MB	54.8 KB
823	b3/996ad0	1761447	run_hsic_lasso (5, B = 5 (1))	CACHED	0	2018-12-11 06:04:51.819	34m 50s	3m 47s	507.7%	571.8 MB	2.1 GB	44.3 MB	54.3 KB
897	47/94075e	1761339	run_hsic_lasso (5, B = 5 (2))	CACHED	0	2018-12-11 05:55:46.995	29m	2m 40s	793.5%	571.8 MB	2.1 GB	44.3 MB	54.3 KB
1555	7f/d54242	1762578	run_hsic_lasso (5, B = 0 (9))	CACHED	0	2018-12-11 08:56:37.346	1h 1m 55s	5m 43s	2264.1%	28.4 GB	30.3 GB	44.3 MB	54.3 KB
1556	41/04de49	1762579	run_hsic_lasso (5, B = 5 (9))	CACHED	0	2018-12-11 08:56:52.459	59m 30s	2m 27s	349.7%	571.5 MB	2.1 GB	44.3 MB	54.3 KB
894	98/6fbd27	1761685	run_hsic_lasso (5, B = 10 (3))	CACHED	0	2018-12-11 06:21:16.914	22m 50s	56.8s	1516.4%	1001.8 MB	2.6 GB	44.3 MB	54.3 KB
1476	90/3379ed	1762281	run_hsic_lasso (10, B = 0 (1))	CACHED	0	2018-12-11 08:22:22.206	46m 45s	7m 59s	1749.3%	28.4 GB	30.4 GB	44.3 MB	54.3 KB
1960	e0/678049	1709082	run_hsic_lasso (20, B = 5 (4))	CACHED	0	2018-12-05 18:49:52.995	57m 45s	3m 2s	180.4%	584 MB	3.2 GB	44.4 MB	54.3 KB
2337	fa/a88dbc	1710561	run_hsic_lasso (20, B = 10 (7))	CACHED	0	2018-12-05 22:57:18.676	1h 2m 30s	2m 38s	547.3%	1020.7 MB	3.6 GB	44.4 MB	54.3 KB
1557	05/50edc1	1762580	run_hsic_lasso (5, B = 10 (9))	CACHED	0	2018-12-11 08:56:57.315	1h 1m 35s	1m 13s	689.6%	1002 MB	2.6 GB	44.3 MB	54.3 KB
900	2f/4e1ab3	1761347	run_hsic_lasso (5, B = 10 (2))	CACHED	0	2018-12-11 05:56:01.875	31m 50s	53.1s	1387.6%	1002 MB	2.6 GB	44.3 MB	54.3 KB
